questions,class
"In what sport are these following numbers relevant : 118 , 126 , 134 , 142 , 15 , 158 , 167 , 177 , and 19 ?",ENTITY
What 2 statues did France give to other countries ?,ENTITY
How many sperm cells are in an average ejaculation ?,NUMERIC
Name the disposable razor that `` costs about 19 cents . '',ENTITY
How far do you have to run if you hit a home run ?,NUMERIC
What is the fear of being loved ?,ENTITY
What was the number of people that Randy Steven Craft was convicted of killing ?,NUMERIC
How far can a man travel in outer space ?,NUMERIC
What type of food makes you fat ?,ENTITY
What is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?,ENTITY
What was the U.S. highway death toll in 1969 ?,NUMERIC
"What kind of animals are Dorsets , Lincolns , Oxfords and Southdowns ?",ENTITY
What are the shortest and the longest songs ever produced ?,ENTITY
What letter is to the right of K on a typewriter keyboard ?,ENTITY
What is the plural of gulf ?,ENTITY
What year did the United States pass the Copyright law ?,NUMERIC
What percentage of Americans own their homes ?,NUMERIC
What 's the first day of the week ?,NUMERIC
How many degrees cooler is the inside of a cucumber than the air outside ?,NUMERIC
How many layers of yellow paint is a Faber Mongol pencil lucky enough to be sprayed with ?,NUMERIC
What is the wingspan of a condor ?,NUMERIC
What 's the literary term for a play on words ?,ENTITY
What color were their horses ?,ENTITY
What does an average daycare provider get paid in New England ?,NUMERIC
How many Americans fought for the British in the American Revolution ?,NUMERIC
What kind of education do I need to become a flight attendant ?,ENTITY
What are the two languages of Malta ?,ENTITY
How many oceans are there and name them ?,NUMERIC
How many pairs of legs does a lobster have ?,NUMERIC
What do you call a group of geese ?,ENTITY
"How many times has `` Louie , Louie '' been recorded ?",NUMERIC
What percent liked Thatcher after she had been in power for a decade ?,NUMERIC
What was Mel Gibson 's first movie ?,ENTITY
What horse did Zorro ride ?,ENTITY
"Which hair care product told us `` hate that gray , wash it away '' ?",ENTITY
What was Connecticut 's first constitution called ?,ENTITY
What historical event happened in Dogtown in 1899 ?,ENTITY
What is the most common kind of skin cancer in the U.S. ?,ENTITY
How many fingers are used to draw a bow ?,NUMERIC
What are two plants that clothes are made from ?,ENTITY
When was Hurricane Hugo ?,NUMERIC
What is the most heavily caffeinated soft drink ?,ENTITY
What was the price of Varian Associates ' vacuum products division ?,NUMERIC
When was `` the Great Depression '' ?,NUMERIC
What language is mostly spoken in Brazil ?,ENTITY
What does a topophobic actor suffer from ?,ENTITY
"The italian artist , Maurizio Pellegrin , is how old ?",NUMERIC
What type of hunting are retrievers used for ?,ENTITY
Italy is the largest producer of what ?,ENTITY
What infectious disease is the world 's deadliest ?,ENTITY
In what year did Ireland elect its first woman president ?,NUMERIC
What was the name of the orca that died of a fungal infection ?,ENTITY
What is Mississippi 's state animal ?,ENTITY
What did Dan Aykroyd and John Belushi quit Saturday Night Live to become ?,ENTITY
How many months does a normal human pregnancy last ?,NUMERIC
What Italian liner was hijacked in 1985 ?,ENTITY
What soap was touted as being `` for people who like people '' ?,ENTITY
How much was the minimum wage in 1991 ?,NUMERIC
What does NAFTA stand for ?,ABBREVIATION
What are some tips for building a fire in a fireplace ?,ENTITY
What do manatees eat ?,ENTITY
How do you say 2 in Latin ?,ENTITY
What were popular songs and types of songs in the 1920s ?,ENTITY
How many Vietnamese were there in the Soviet Union ?,NUMERIC
What is November 's birthstone ?,ENTITY
"On average , how many miles are there to the moon ?",NUMERIC
"What Boris Pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?",ENTITY
What is the longest English word ?,ENTITY
What species is a colt ?,ENTITY
What is the full name of the PLO ?,ABBREVIATION
What age followed the Bronze Age ?,ENTITY
What does the word LASER mean ?,ABBREVIATION
How many hands does Bjorn Borg use when hitting his forehand ?,NUMERIC
How many people died on D-Day ?,NUMERIC
What is the student population at the University of Massachusetts in Amherst ?,NUMERIC
When did the Dow first reach ?,NUMERIC
Which killer whale died at Sea World of a fungal infection ?,ENTITY
What is a language spoken by the Sioux ?,ENTITY
What breed of dog was the `` Little Rascals '' dog ?,ENTITY
What color are school buses ?,ENTITY
"What events happened January 26 , 1978 ?",ENTITY
What other name were the `` Little Rascals '' known as ?,ENTITY
When was the San Francisco fire ?,NUMERIC
What is a fear of food ?,ENTITY
"How many casinos are in Atlantic City , NJ ?",NUMERIC
What year did the Vietnam War end ?,NUMERIC
What 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?,ENTITY
What is the chromosome number of an elephant ?,NUMERIC
Which soft drink does Madonna advertise for ?,ENTITY
When was Berlin 's Brandenburg gate erected ?,NUMERIC
How many double-word-score spaces are there on a Scrabble Crossword Game board ?,NUMERIC
What year did Germany sign its nonaggression pact with the Soviet Union ?,NUMERIC
How many CDs has Garth Brooks sold ?,NUMERIC
Name the vessel used by the Atari Force in the DC comics .,ENTITY
What is the only gland in humans that can regenerate itself ?,ENTITY
How many Gutenberg Bibles are there ?,NUMERIC
What astronomical phenomenon takes place in Jan. 1999 ?,ENTITY
What was the top box office movie in April 1998 ?,ENTITY
"Which is the largest clock , diameter wise , in Europe ?",ENTITY
What plant is rum made from ?,ENTITY
Which condiment was once sold as a patent medicine ?,ENTITY
What are the chemicals used in glowsticks ?,ENTITY
What color are tennis balls ?,ENTITY
What sports event is Meyer Wolfsheim supposed to have fixed in The Great Gatsby ?,ENTITY
"What card game has variations called Canfield , Klondike and Spider ?",ENTITY
What mammal of North America is the world 's longest-lived for its size ?,ENTITY
How many home runs did Lou Gehrig have during his career ?,NUMERIC
What is the dialogue circle in cartoons called ?,ENTITY
How many boys play the game in Winslow Homer 's 1872 painting Snap the Whip ?,NUMERIC
When are sheep shorn ?,NUMERIC
What sport is Chris Jogis a top player of ?,ENTITY
What century does Captain Video live in ?,NUMERIC
What types of water pollution are there ?,ENTITY
How many astronauts manned each Project Mercury flight ?,NUMERIC
What soft drink would provide me with the biggest intake of caffeine ?,ENTITY
What 's the name of a golf course in Myrtle Beach ?,ENTITY
What are some of the significant historical events of the 1990s ?,ENTITY
Name the only extant trilogy of classical Greek plays .,ENTITY
What is the average cost for four years of medical school ?,NUMERIC
What does God create in the first sentence of the Bible ?,ENTITY
What is the current ticket fare from from Cairo to Barbados ?,NUMERIC
What does NN O `` mean when used as a prefix in Irish surnames ?,ABBREVIATION
What 1966 boob tube bomb took astronauts back to prehistoric times ?,ENTITY
How many students attend the University of Massachusetts ?,NUMERIC
What holidays are celebrated in Ireland ?,ENTITY
What is a fear of sleep ?,ENTITY
What auto race was Wilbur Reed the first to win three times ?,ENTITY
What are the most common breeding birds in the U.S. ?,ENTITY
"What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 ?",ENTITY
When did Iraqi troops invade Kuwait ?,NUMERIC
What was Mark Johnson referring to when he said : `` I still can 't believe it- we beat the Russians ? '',ENTITY
What car was driven in the 199 release of `` Smokey and the Bandit '' ?,ENTITY
What 1915 film was the first to gross $5 million ?,ENTITY
What is the probability that at least 2 out of 25 people will have the same birthday ?,NUMERIC
How many Canadians emmigrate each year ?,NUMERIC
What musical instrument did Sherlock Holmes play ?,ENTITY
How many different languages are spoken in Europe ?,NUMERIC
What year was Desmond Mpilo Tutu awarded the Nobel Peace Prize ?,NUMERIC
What 's a `` Drinker respirator '' better known as ?,ENTITY
What is Smokey The Bear 's middle name ?,ENTITY
What British TV series featured Emma Peel ?,ENTITY
What tragedy befell the city of Dogtown in 1899 ?,ENTITY
What are the names of all the U.S. Navy aircraft carriers ?,ENTITY
What format was VHS 's main competition ?,ENTITY
What does the Ouarterly Review of Doublespeak call an `` inoperative statement '' ?,ENTITY
How much did the minimum wage amount to in 1991 ?,NUMERIC
What is the chemical reactivity of argon ?,NUMERIC
How many engines does a Boeing 737 have ?,NUMERIC
What is a fear of being cold ?,ENTITY
How long was Mao 's 1930s Long March ?,NUMERIC
What net game sees its women 's world amateur champions receive the Uber Cup ?,ENTITY
What four-legged creature did a Cornell University study say would make man 's best companion in space ?,ENTITY
What does a teaspoon of matter weigh in a black hole ?,NUMERIC
"What did British companies stick 175 , 0 tons of tea into in 1982 ?",ENTITY
What is California 's state bird ?,ENTITY
What is Martin Luther King Jr. 's real birthday ?,NUMERIC
What 's the name of Jacques Cousteau 's research ship ?,ENTITY
In which Kevin Costner movie did Sioux Indians play a role ?,ENTITY
How many James Bond novels are there ?,NUMERIC
What bird can swim but can 't fly ?,ENTITY
How large is the Arctic refuge to preserve unique wildlife and wilderness value on Alaska 's north coast ?,NUMERIC
How much electricity does the brain need to work ?,NUMERIC
How many acres in a mile ?,NUMERIC
What Dickens novel has David carrying the message `` Barkis is willin '' to Peggy ?,ENTITY
"What is the per-capita income of Colombia , South America , ?",NUMERIC
What novel has Big Brother watching ?,ENTITY
How many Grammys did Michael Jackson win in 1983 ?,NUMERIC
What was the favorite sport of Tom Wolfe 's The Pump House Gang ?,ENTITY
What organic fuel do bog-dwellers use a `` slane '' to cut ?,ENTITY
What is the average age of a member of the team that worked on the Manhatten Project ?,NUMERIC
How many syllables are there in a line of hendecasyllabic poetry ?,NUMERIC
"What soft drink first appeared in the Old Corner Drug Store in Waco , Texas , in 1885 ?",ENTITY
How many children under 18 are victims of some sort of Physical Abuse each year ?,NUMERIC
What did Jimmy Stewart invent ?,ENTITY
What generation am I in ?,ENTITY
What is a fear of hell ?,ENTITY
What is Jell-O made from ?,ENTITY
What 's the Southern dish made of pigs ' small intestines ?,ENTITY
How many people in America snore ?,NUMERIC
What soft drink is most heavily caffeinated ?,ENTITY
Which drug is commonly used to treat AIDS ?,ENTITY
How many stars are there on the Soviet Union 's flag ?,NUMERIC
What are the lengths of pearl necklaces ?,NUMERIC
How long does it take the typical hen to lay 19 dozen eggs ?,NUMERIC
What was the name of the Protestant revolt against the supremacy of the Pope ?,ENTITY
"How much does it cost , average or whatever is available , to produce and send junk mail catalogues in the US ? , DT CD NN NN ,",NUMERIC
When was the slinky invented ?,NUMERIC
What is a fear of cold ?,ENTITY
What was the monster in Spielberg 's film `` Jaws '' ?,ENTITY
What color is an Arctic fox in winter ?,ENTITY
What flower did Vincent Van Gogh paint ?,ENTITY
What was Thatcher 's approval rating after 10 years in power ?,NUMERIC
Winnie the Pooh is what kind of animal ?,ENTITY
How many calories are in a tomato ?,NUMERIC
What war saw a naval battle between the luxury liners Cap Trafalgar and the Carmania ?,ENTITY
What is the treatment for depression ?,ENTITY
What is a fear of slime ?,ENTITY
What Marx Brothers movie centers on a stolen painting ?,ENTITY
When was Dick Clark born ?,NUMERIC
What game is fatal to anybody over 21 ?,ENTITY
What is the death toll of people dying from tuberculosis ?,NUMERIC
How long was the TV mission of Star Trek 's Enterprise to be ?,NUMERIC
What phone number can I call to have a tree planted ?,NUMERIC
When did the `` Star-Spangled Banner '' become the national anthem ?,NUMERIC
What are the four natural aids used in riding a horse ?,ENTITY
Name a Gaelic language .,ENTITY
"What day is August 13 , 1971 ?",NUMERIC
"What literary classic centers on the search for a treasure in gold worth 7 , 0 pounds ?",ENTITY
What is the name of the Michelangelo painting that shows two hands with fingers touching ?,ENTITY
How big is a quart ?,NUMERIC
Jude Law acted in which film ?,ENTITY
What drug did Sigmund Freud become fascinated with while experimenting with the treatment of neurasthenia ?,ENTITY
What is Beethoven 's 9th symphony called ?,ENTITY
Which breakfast cereal brought you `` the best each morning '' ?,ENTITY
"What does Ms. , Miss , and Mrs. stand for ?",ABBREVIATION
"What explosive do you get by mixing charcoal , sulfur and saltpeter ?",ENTITY
What cancer is commonly associated with AIDS ?,ENTITY
How long does it take light to reach the Earth from the Sun ?,NUMERIC
How many questions are on this thing ?,NUMERIC
In what year did Hitler gain power of Germany ?,NUMERIC
What year did Rossetti paint `` Beata Beatrix '' ?,NUMERIC
What did The Gas House Gang play ?,ENTITY
How many square feet is Bill Gates ' home ?,NUMERIC
What 's the most popular form of bridge ?,ENTITY
Boxing Day is celebrated on what date ?,NUMERIC
What are the first ten amendements passed ?,ENTITY
What is another term for the painful wrist syndrome ?,ENTITY
What game is Garry Kasparov really good at ?,ENTITY
Where does the U.S. rank among world countries in area ?,NUMERIC
What novel did Ian Fleming introduce James Bond in ?,ENTITY
What was the target rate for M3 growth in 1992 ?,NUMERIC
When did Israel begin turning the Gaza Strip and Jericho over to the PLO ?,NUMERIC
How much energy is released when oxygen and hydrogen mix ?,NUMERIC
What keeps clouds in the air ?,ENTITY
What 's the term for any four-sided figure ?,ENTITY
Ray Charles plays which instrument ?,ENTITY
What type of betting is used in horse racing ?,ENTITY
What kind of hat does Bat Masterson wear ?,ENTITY
What does the abbreviation cwt. ?,ABBREVIATION
In what deodorant commercial did tenants have adjoining medicine cabinets ?,ENTITY
How many horses died during the civil war ?,NUMERIC
How much waste does an average dairy cow produce in a day ?,NUMERIC
How many minutes were there on the original GE College Bowl clock ?,NUMERIC
What is the average time it takes for a male to ejaculate ?,NUMERIC
How many astronauts have been on the moon ?,NUMERIC
In what year did the Bounty mutiny happen ?,NUMERIC
What is the only substance that gives food its `` taste '' when eaten ?,ENTITY
What do the letters ZIP stand for in the phrase `` ZIP code '' ?,ABBREVIATION
What is the quickest and easiest way to get nail polish out of clothes ?,ENTITY
What 's the No. 1 killer in industrialized countries ?,ENTITY
Name four famous cartoon cats .,ENTITY
When were the Olympic Games in which Nadia Comaneci became popular played ?,NUMERIC
"What magazine gives us the cream , not the skim ?",ENTITY
What does the technique called `` cold fusion '' produce ?,ENTITY
"What meter did Shakespeare use in writing : `` To be , or not to be , that is the question.. . '' ?",ENTITY
How many rows of sprocket holes does a roll of 35-millimeter film have ?,NUMERIC
What is the goat population of the world ?,NUMERIC
What term does a Czech use to describe a Pole ?,ENTITY
How many lawyers are there in the state of New Jersey ?,NUMERIC
What are the most common elements in seawater ?,ENTITY
What kind of science is cosmology ?,ENTITY
What 's the second-lightest element ?,ENTITY
What do you call a `` twirl '' in ballet ?,ENTITY
What is the brand name of daminozide ?,ENTITY
What is the former name of Zimbabwe ?,ENTITY
What animals did The Amazing Three masquerade as ?,ENTITY
When did Fraze get his first patent for the pull-tab can ?,NUMERIC
How many games are played in a five-team round-robin tournament ?,NUMERIC
What civil war was fought between 1936 and 1939 ?,ENTITY
How many questions do you have on your database ?,NUMERIC
When was the Triangle Shirtwaist fire ?,NUMERIC
"What World War I battle saw 6 , 0 troops killed in one day ?",ENTITY
What computer operating system is on the most computers ?,ENTITY
"What do the letters D.C. stand for in Washington , D.C. ?",ABBREVIATION
What animals can live the longest without food ?,ENTITY
"What is the approximate population of Las Vegas , N.M ?",NUMERIC
How much does the President get paid ?,NUMERIC
What 's the largest letter in Salvador Dali 's signature ?,ENTITY
What does an irate car owner call iron oxide ?,ENTITY
"Of children between the ages of two and eleven , what percentage watch `` The Simpsons '' ?",NUMERIC
What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,ENTITY
What movie told of Anna Anderson 's claim to be a Russian czar 's daughter ?,ENTITY
What kind of creature is a coot ?,ENTITY
What is a fear of disease ?,ENTITY
What kind of meat is Fray Bentos synonymous with ?,ENTITY
What did Mr. Magoo flog on TV for General Electric ?,ENTITY
What is the name of the Jewish alphabet ?,ENTITY
What is Columbia Tristar 's phone number ?,NUMERIC
What 's the only mammal that can 't jump ?,ENTITY
What war saw battles at Parrot 's Beak and Black Virgin ?,ENTITY
What was the U.S. highway death toll in 1969 ?,NUMERIC
What does each of the utilities cost in Monopoly ?,NUMERIC
What does e.g. stand for ?,ABBREVIATION
What is the name of the medical condition in which a baby is born without a brain ?,ENTITY
What city is often called The Insurance Capital of the World ?,LOCATION
